floors,waterfront,lat,bedrooms,view,bathrooms,sqm_living15,mean_price_zip,grade,sqm_living,price,renovated
1,no,47.5112,3,0,1,124.49002,307446.02040816325,7,109.62554,221900,no
2,no,47.721,3,0,2.25,157.00607,459288.5595238095,7,238.76071,538e3,yes
1,no,47.7379,2,0,1,252.69616,453101.8181818182,6,71.53531,18e4,no
1,no,47.5208,4,0,3,126.34808,532618.6666666666,7,182.08988,604e3,no
1,no,47.6168,3,0,2,167.2254,697143.3921568628,8,156.07704,51e4,no
1,no,47.6561,4,0,4.5,442.21828,688772.3037974683,11,503.53426,1225e3,no
2,no,47.3097,3,0,2.25,207.916914,292943.45454545453,7,159.328645,257500,no
1,no,47.4095,3,0,1.5,153.28995,321275.95238095237,7,98.47718,291850,no
1,no,47.5123,3,0,1,165.36734,369028.14285714284,7,165.36734,229500,no
2,no,47.3684,3,0,2.5,222.03817,358796.1967213115,7,175.58667,323e3,no
1,no,47.6007,3,0,2.5,205.31563,623492.8571428572,8,330.73468,662500,no
1,no,47.69,2,0,1,123.56099,624118.4778761062,7,107.76748,468e3,no
1.5,no,47.7558,3,0,1,165.36734,453101.8181818182,7,132.85129,31e4,no
1,no,47.6127,3,0,1.75,127.27711,697143.3921568628,7,127.27711,4e5,no
1.5,no,47.67,5,0,2,126.34808,550494.7272727273,7,168.15443,53e4,no
2,no,47.5714,4,3,3,198.81242,439572.8846153846,9,274.06385,65e4,no
2,no,47.7277,3,0,2,175.58667,393761.35135135136,7,175.58667,395e3,no
1.5,no,47.6648,4,0,1,149.57383,613701.2131147541,7,148.6448,485e3,no
1,no,47.3089,2,0,1,98.47718,240227.44444444444,7,111.4836,189e3,no
1,no,47.3343,3,0,1,118.91584,292943.45454545453,7,116.12875,23e4,no
1,no,47.7025,4,0,1.75,130.0642,383673.5,7,150.50286,385e3,no
1,no,47.5316,3,4,2.75,381.83133,1201941.3333333333,9,283.35415,2e6,no
2,no,47.3266,5,0,2.5,208.10272,343325.1168831169,8,210.88981,285e3,no
1,no,47.3533,2,0,1.5,113.34166,291361.8301886792,7,99.40621,252700,no
2,no,47.3739,3,0,2.25,204.3866,291361.8301886792,8,227.61235,329e3,no
1.5,no,47.3048,3,0,2,95.69009,240227.44444444444,6,158.86413,233e3,no
2,no,47.6386,3,0,1.75,163.50928,814704.575,8,227.61235,937e3,no
1.5,no,47.6221,3,0,1,172.79958,1166261.32,8,130.0642,667e3,no
1,no,47.695,3,0,1.75,141.21256,624118.4778761062,7,141.21256,438e3,no
2,no,47.7073,4,0,2.5,244.33489,659656.5158730159,8,238.76071,719e3,no
2,no,47.5391,3,0,2.5,239.68974,599153.8571428572,8,215.53496,580500,no
3,no,47.7274,2,0,1.5,129.13517,383673.5,7,110.55457,28e4,no
1.5,no,47.6823,4,0,1.75,135.63838,591939.4716981133,7,216.46399,687500,no
1.5,no,47.6889,3,0,1,145.85771,591939.4716981133,8,101.26427,535e3,no
1,no,47.4276,4,0,2.75,187.66406,381094.8823529412,7,191.38018,322500,no
